,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter88,44,34,42,38,19,2,20,39,14,18,22,24,21,31,7,12,47,8,49,26,0,29,48,6,9,17,10,5,50,25,23,43,11,41,1,32,40,51,30,13,16,35,52,27,36,3,53,45,28,4,33,15,46,37
iter89,47,24,22,36,25,3,49,13,21,28,26,35,19,10,27,15,20,7,48,29,0,43,40,9,11,31,33,2,51,4,14,42,12,18,5,16,39,50,41,17,30,34,53,23,38,6,52,44,32,1,37,8,46,45
iter90,44,34,25,37,24,4,48,15,39,29,19,33,23,28,9,14,47,8,52,36,1,30,51,2,13,40,21,6,50,35,17,46,12,31,3,42,27,49,32,20,11,41,0,22,18,7,53,43,26,5,38,16,45,10
iter91,46,26,39,40,11,4,48,33,9,32,24,31,14,25,21,16,27,5,45,23,0,30,49,10,8,13,7,20,51,38,6,42,12,28,3,35,22,50,47,19,18,41,52,36,44,2,53,43,29,1,34,15,37,17
iter92,47,24,43,37,19,4,38,31,25,34,30,33,26,27,11,15,3,5,51,20,0,18,50,6,14,10,32,9,44,8,21,45,13,23,2,42,39,52,41,22,16,36,53,12,29,7,46,40,28,1,35,17,48,49
iter93,46,34,44,42,18,12,35,22,17,38,26,28,19,37,31,15,2,7,47,32,0,30,6,1,10,8,27,24,49,14,23,48,20,21,4,25,51,50,39,11,13,33,52,9,36,5,53,45,40,3,43,16,41,29
iter94,44,32,35,41,15,8,51,13,24,18,30,26,23,31,37,17,36,4,53,25,0,45,47,3,9,11,10,1,52,2,19,42,20,40,6,43,48,49,39,21,33,28,14,22,27,5,12,50,29,7,38,34,46,16
iter95,47,20,29,28,10,4,46,36,45,22,21,30,26,18,27,13,23,3,53,24,0,37,44,12,7,9,15,5,52,40,6,48,11,32,1,17,42,50,38,14,25,34,49,31,33,8,51,39,19,2,41,16,43,35
iter96,46,27,33,38,11,3,53,10,36,25,29,35,24,20,43,16,2,9,51,31,0,4,37,8,18,21,14,15,49,23,17,45,13,30,6,32,50,52,42,34,22,44,7,28,39,5,12,40,26,1,41,19,48,47
iter97,48,27,47,40,5,8,49,17,37,41,22,30,23,31,24,12,13,4,45,26,1,7,15,9,10,21,44,0,52,51,25,43,20,19,2,33,36,28,39,18,29,42,53,38,35,3,11,46,32,6,34,16,50,14
iter98,49,24,16,48,15,4,52,32,10,33,26,34,25,30,18,19,50,11,40,23,0,43,28,2,8,14,9,1,51,22,42,46,12,27,6,20,36,44,37,35,17,41,53,21,38,7,5,47,31,3,45,13,39,29
iter99,48,32,26,45,23,7,43,18,30,33,25,38,28,21,9,19,4,14,49,24,0,37,52,3,20,12,10,5,50,2,29,47,16,44,13,31,36,51,42,22,34,46,1,15,39,6,53,40,27,8,35,17,41,11
iter100,51,25,33,35,26,3,50,28,18,29,27,23,19,24,7,14,42,4,39,31,0,30,49,8,12,11,10,6,34,17,9,43,16,21,1,38,48,46,45,22,15,41,52,40,20,2,53,47,32,5,37,13,44,36
iter101,45,25,31,37,46,11,35,22,50,33,23,32,34,24,43,16,1,3,52,29,2,13,49,19,8,27,17,4,51,21,10,47,18,41,5,20,44,48,39,26,15,36,53,9,30,6,0,40,28,14,42,12,38,7
iter102,44,29,31,35,10,3,52,7,41,30,22,25,18,19,39,32,9,5,49,23,1,48,40,11,8,21,34,15,51,36,14,43,12,33,4,46,37,50,42,17,27,20,53,24,26,6,0,45,28,2,38,13,47,16
